species,doym
Anthocharis euphenoides,2024-05-19
Aporia crataegi,2024-06-20
Argynnis pandora,2024-08-13
Aricia montensis,2024-08-02
Brintesia circe,2024-07-25
Chazara briseis,2024-08-05
Coenonympha dorus,2024-07-23
Erebia hispania,2024-07-21
Euphydryas aurinia,2024-06-25
Fabriciana niobe,2024-07-07
Hipparchia fidia,2024-08-20
Hipparchia hermione,2024-07-27
Hipparchia semele,2024-07-24
Hipparchia statilinus,2024-08-15
Hyponephele,2024-07-26
Lycaena alciphron,2024-07-04
Maniola jurtina,2024-06-30
Melanargia lachesis,2024-07-14
Melanargia occitanica,2024-06-30
Melitaea deione,2024-05-19
Melitaea phoebe,2024-06-03
Melitaea trivia,2024-06-23
Parnassius apollo,2024-07-06
Plebejus argus,2024-07-08
Plebejus idas,2024-07-07
Polyommatus amandus,2024-07-01
Polyommatus escheri,2024-07-13
Polyommatus golgus,2024-07-12
Polyommatus nivescens,2024-06-24
Pyronia bathseba,2024-06-21
Pyronia cecilia,2024-07-11
Pyronia tithonus,2024-08-05
Satyrium esculi,2024-07-11
Satyrus actaea,2024-08-07
Thymelicus sylvestris,2024-07-05
Zerynthia rumina,2024-04-16
