file,sp
Aglais_urticae_BMSSN_pheno.xlsx,Aglais urticae
Anthocharis_cardamines_BMSSN_pheno.xlsx,Anthocharis cardamines
Anthocharis_euphenoides_BMSSN_pheno.xlsx,Anthocharis euphenoides
Aporia_crataegi_BMSSN_pheno.xlsx,Aporia crataegi
Arethusana_arethusa_BMSSN_pheno.xlsx,Arethusana arethusa
Argynnis_pandora_BMSSN_pheno.xlsx,Argynnis pandora
Aricia_montensis_BMSSN_pheno.xlsx,Aricia montensis
Aricia_morronensis_BMSSN_pheno.xlsx,Aricia morronensis
Brintesia_circe_BMSSN_pheno.xlsx,Brintesia circe
Chazara_briseis_BMSSN_pheno.xlsx,Chazara briseis
Coenonympha_dorus_BMSSN_pheno.xlsx,Coenonympha dorus
Colotis_evagore_BMSSN_pheno.xlsx,Colotis evagore
Cupido_lorquinii_BMSSN_pheno.xlsx,Cupido lorquinii
Cyaniris_semiargus_BMSSN_pheno.xlsx,Cyaniris semiargus
Erebia_hispania_BMSSN_pheno.xlsx,Erebia hispania
Euphydryas_aurinia_BMSSN_pheno.xlsx,Euphydryas aurinia
Fabriciana_adippe_BMSSN_pheno.xlsx,Fabriciana adippe
Fabriciana_niobe_BMSSN_pheno.xlsx,Fabriciana niobe
Glaucopsyche_alexis_BMSSN_pheno.xlsx,Glaucopsyche alexis
Glaucopsyche_melanops_BMSSN_pheno.xlsx,Glaucopsyche melanops
Gonepteryx_cleopatra_BMSSN_pheno.xlsx,Gonepteryx cleopatra
Gonepteryx_rhamni_BMSSN_pheno.xlsx,Gonepteryx rhamni
Hesperia_comma_BMSSN_pheno.xlsx,Hesperia comma
Hipparchia_fidia_BMSSN_pheno.xlsx,Hipparchia fidia
Hipparchia_hermione_BMSSN_pheno.xlsx,Hipparchia hermione
Hipparchia_semele_BMSSN_pheno.xlsx,Hipparchia semele
Hipparchia_statilinus_BMSSN_pheno.xlsx,Hipparchia statilinus
Hyponephele_lycaon_BMSSN_pheno.xlsx,Hyponephele lycaon
Lasiommata_megera_BMSSN_pheno.xlsx,Lasiommata megera
Lycaena_alciphron_BMSSN_pheno.xlsx,Lycaena alciphron
Lysandra_albicans_BMSSN_pheno.xlsx,Lysandra albicans
Maniola_jurtina_BMSSN_pheno.xlsx,Maniola jurtina
Melanargia_ines_BMSSN_pheno.xlsx,Melanargia ines
Melanargia_lachesis_BMSSN_pheno.xlsx,Melanargia lachesis
Melanargia_occitanica_BMSSN_pheno.xlsx,Melanargia occitanica
Melitaea_athalia_BMSSN_pheno.xlsx,Melitaea athalia
Melitaea_deione_BMSSN_pheno.xlsx,Melitaea deione
Melitaea_didyma_BMSSN_pheno.xlsx,Melitaea didyma
Melitaea_parthenoides_BMSSN_pheno.xlsx,Melitaea parthenoides
Melitaea_phoebe_BMSSN_pheno.xlsx,Melitaea phoebe
Melitaea_trivia_BMSSN_pheno.xlsx,Melitaea trivia
Muschampia_proto_BMSSN_pheno.xlsx,Muschampia proto
Nymphalis_polychloros_BMSSN_pheno.xlsx,Nymphalis polychloros
Parnassius_apollo_BMSSN_pheno.xlsx,Parnassius apollo
Plebejus_argus_BMSSN_pheno.xlsx,Plebejus argus
Plebejus_idas_BMSSN_pheno.xlsx,Plebejus idas
Polygonia_c-album_BMSSN_pheno.xlsx,Polygonia c-album
Polyommatus_amandus_BMSSN_pheno.xlsx,Polyommatus amandus
Polyommatus_escheri_BMSSN_pheno.xlsx,Polyommatus escheri
Polyommatus_golgus_BMSSN_pheno.xlsx,Polyommatus golgus
Polyommatus_nivescens_BMSSN_pheno.xlsx,Polyommatus nivescens
Polyommatus_thersites_BMSSN_pheno.xlsx,Polyommatus thersites
Pseudochazara_mercurius_BMSSN_pheno.xlsx,Pseudochazara mercurius
Pseudophilotes_panoptes_BMSSN_pheno.xlsx,Pseudophilotes panoptes
Pyronia_bathseba_BMSSN_pheno.xlsx,Pyronia bathseba
Pyronia_cecilia_BMSSN_pheno.xlsx,Pyronia cecilia
Pyronia_tithonus_BMSSN_pheno.xlsx,Pyronia tithonus
Satyrium_esculi_BMSSN_pheno.xlsx,Satyrium esculi
Satyrium_spini_BMSSN_pheno.xlsx,Satyrium spini
Satyrus_actaea_BMSSN_pheno.xlsx,Satyrus actaea
Speyeria_aglaja_BMSSN_pheno.xlsx,Speyeria aglaja
Thymelicus_sylvestris_BMSSN_pheno.xlsx,Thymelicus sylvestris
Tomares_ballus_BMSSN_pheno.xlsx,Tomares ballus
Zerynthia_rumina_BMSSN_pheno.xlsx,Zerynthia rumina
